날짜,시간,타입,대분류,소분류,내용,금액,화폐,결제수단,메모
2023-03-22,17:54,수입,금융수입,미분류,KB카드입금,57800,KRW,우리닷컴통장,
2023-03-21,18:07,지출,의료/건강,운동,J피트니스,-55000,KRW,우리 SUPER주거래 통장,
2023-03-21,12:49,이체,카드대금,미분류,신한카드,-1936202,KRW,저축예금,
2023-03-21,12:48,이체,카드대금,미분류,카드대금결제,-1503942,KRW,우리닷컴통장,
2023-03-21,12:41,이체,미분류,미분류,출금 내역,-1000000,KRW,WON 통장,
2023-03-21,12:02,이체,이체,미분류,곽모씨,1000000,KRW,WON 통장,
2023-03-21,11:05,지출,온라인쇼핑,인터넷쇼핑,쿠팡(쿠페이),-17000,KRW,입출금통장,
2023-03-21,10:14,이체,이체,미분류,가전제품,2341493,KRW,우리 SUPER주거래 통장,
2023-03-21,8:50,지출,카페/간식,커피/음료,스타벅스　코리아,-5200,KRW,우리 SUPER주거래 통장,
2023-03-21,3:23,지출,주거/통신,휴대폰,휴대폰요금(KT),-48990,KRW,WON 통장,
2023-03-20,17:36,지출,술/유흥,맥주/호프,피맥,-49900,KRW,우리 SUPER주거래 통장,
2023-03-20,9:55,이체,이체,미분류,네이버페이결제,-40000,KRW,저축예금,
2023-03-20,9:48,이체,이체,미분류,네이버페이결제,-52500,KRW,입출금통장,
2023-03-19,23:15,수입,기타수입,미분류,쿠팡(쿠페이),5500,KRW,입출금통장,
2023-03-19,22:59,지출,온라인쇼핑,인터넷쇼핑,쿠팡(쿠페이),-6200,KRW,입출금통장,
2023-03-19,22:57,지출,온라인쇼핑,인터넷쇼핑,쿠팡(쿠페이),-5500,KRW,입출금통장,
2023-03-19,13:24,수입,금융수입,미분류,예금결산이자,256,KRW,WON 통장,
2023-03-19,10:08,수입,금융수입,미분류,예금결산이자,514,KRW,우리 SUPER주거래 통장,
2023-03-19,6:48,이체,미분류,미분류,입금 내역,2,KRW,KB마이핏통장,
2023-03-18,20:59,이체,이체,미분류,차모모,50000,KRW,입출금통장,
2023-03-18,20:39,지출,식비,치킨,외계인방앗간 길동점,-17450,KRW,입출금통장,
2023-03-18,20:37,지출,생활,생필품,주식회사 아성다이소,-1000,KRW,입출금통장,
2023-03-18,20:14,지출,교육/학습,학습교재,한국체육대학교,-1000,KRW,입출금통장,
2023-03-18,14:08,지출,패션/쇼핑,패션,사랑아이（ｉ）여,-31800,KRW,우리 SUPER주거래 통장,
2023-03-18,12:12,이체,미분류,미분류,출금 내역,-3000000,KRW,WON 통장,
2023-03-18,12:11,이체,이체,미분류,네이버페이결제,-9185,KRW,입출금통장,
2023-03-16,23:07,수입,기타수입,미분류,쿠팡(쿠페이),17000,KRW,입출금통장,
2023-03-16,10:47,수입,기타수입,미분류,롯데카드환불,1359,KRW,저축예금,
2023-03-15,18:15,지출,온라인쇼핑,인터넷쇼핑,쿠팡(쿠페이),-26870,KRW,입출금통장,
2023-03-15,17:26,지출,금융,보험,한화03070,-31000,KRW,WON 통장,
2023-03-15,17:26,지출,금융,보험,한화03057,-29500,KRW,WON 통장,
